 ,Area,X,Y,Slice
1,133847.693,1498.099,451.204,1
2,129097.653,132.423,1102.662,1
3,181870.170,311.787,2410.646,1
4,90290.930,1888.466,1868.188,1
5,56526.607,902.408,3057.034,1
6,53541.969,509.506,3528.517,1
7,122824.772,1607.098,3670.469,1
8,74792.658,1062.104,4215.463,1
9,51828.774,1285.171,4492.664,1
10,42870.040,2093.790,4527.412,1
11,80043.886,1888.466,2664.132,1
12,184223.504,2583.016,2793.093,1
13,117692.415,2902.408,3497.465,1
14,32223.813,2560.203,4121.673,1
15,118087.583,2993.663,4410.646,1
16,145824.799,4101.394,4278.834,1
17,17886.947,4220.532,4581.411,1
18,191289.932,3627.376,1921.420,1
19,81073.972,4518.695,2613.752,1
20,39060.530,4737.643,2491.762,1
21,51440.835,5498.099,2539.924,1
22,90114.229,3929.024,953.105,1
23,67898.914,3109.949,616.603,1
24,147161.301,2664.132,370.089,1
25,43666.800,4195.184,54.724,1
26,25513.999,5609.632,34.428,1
27,21320.566,5997.465,40.797,1
28,19947.118,6138.858,1409.379,1
